date,time,cash_type,card,price,coffee_name
2024/3/1,6:14,card,ANON-0000-0000-0001,3.87,Latte
2024/3/1,11:10,card,ANON-0000-0000-0002,3.87,Hot Chocolate
2024/3/1,11:19,card,ANON-0000-0000-0002,3.87,Hot Chocolate
2024/3/1,11:37,card,ANON-0000-0000-0003,2.89,Americano
2024/3/1,12:56,card,ANON-0000-0000-0004,3.87,Latte
2024/3/1,13:50,card,ANON-0000-0000-0005,3.38,Americano with Milk
2024/3/1,14:57,card,ANON-0000-0000-0006,3.87,Hot Chocolate
2024/3/1,16:15,card,ANON-0000-0000-0007,3.38,Americano with Milk
2024/3/1,16:31,card,ANON-0000-0000-0008,3.87,Cocoa
2024/3/1,16:38,card,ANON-0000-0000-0008,3.38,Americano with Milk
2024/3/1,17:55,card,ANON-0000-0000-0009,3.38,Americano with Milk
2024/3/2,6:57,card,ANON-0000-0000-0010,2.89,Americano
2024/3/2,8:52,cash,,4,Latte
2024/3/2,8:56,card,ANON-0000-0000-0011,3.38,Americano with Milk
2024/3/2,11:35,card,ANON-0000-0000-0012,3.38,Americano with Milk
2024/3/2,13:15,card,ANON-0000-0000-0013,2.89,Americano
2024/3/2,13:49,card,ANON-0000-0000-0014,3.38,Americano with Milk
2024/3/2,14:16,card,ANON-0000-0000-0004,2.89,Americano
2024/3/3,7:00,cash,,4,Latte
2024/3/3,7:21,card,ANON-0000-0000-0015,3.87,Latte
2024/3/3,8:14,card,ANON-0000-0000-0016,2.89,Cortado
2024/3/3,8:20,card,ANON-0000-0000-0012,2.89,Americano
2024/3/3,9:17,card,ANON-0000-0000-0017,3.87,Hot Chocolate
2024/3/3,10:44,card,ANON-0000-0000-0018,3.87,Cocoa
2024/3/3,11:18,card,ANON-0000-0000-0019,2.89,Cortado
2024/3/3,13:23,card,ANON-0000-0000-0020,3.38,Americano with Milk
2024/3/3,13:32,card,ANON-0000-0000-0020,3.38,Americano with Milk
2024/3/3,16:52,card,ANON-0000-0000-0020,3.87,Hot Chocolate
2024/3/4,7:14,card,ANON-0000-0000-0001,3.87,Latte
2024/3/4,7:26,card,ANON-0000-0000-0021,3.87,Latte
2024/3/4,9:56,card,ANON-0000-0000-0012,3.38,Americano with Milk
2024/3/4,13:25,card,ANON-0000-0000-0022,2.4,Espresso
2024/3/5,6:52,card,ANON-0000-0000-0001,3.87,Latte
2024/3/5,10:11,card,ANON-0000-0000-0023,3.87,Latte
2024/3/5,12:43,card,ANON-0000-0000-0024,3.87,Latte
2024/3/5,13:45,card,ANON-0000-0000-0025,3.87,Hot Chocolate
2024/3/5,15:31,card,ANON-0000-0000-0026,3.87,Cocoa
2024/3/5,16:52,card,ANON-0000-0000-0027,3.87,Hot Chocolate
2024/3/5,17:17,card,ANON-0000-0000-0009,3.87,Hot Chocolate
2024/3/5,17:19,card,ANON-0000-0000-0028,2.89,Cortado
2024/3/5,17:21,card,ANON-0000-0000-0028,3.87,Hot Chocolate
2024/3/6,8:42,cash,,3.5,Americano with Milk
2024/3/6,10:59,card,ANON-0000-0000-0012,2.89,Americano
2024/3/6,11:26,card,ANON-0000-0000-0012,2.89,Cortado
2024/3/6,12:26,card,ANON-0000-0000-0029,3.87,Cappuccino
2024/3/6,12:52,card,ANON-0000-0000-0029,3.87,Cappuccino
2024/3/7,11:01,cash,,4,Latte
2024/3/7,12:37,card,ANON-0000-0000-0030,3.87,Hot Chocolate
2024/3/7,14:14,card,ANON-0000-0000-0031,3.87,Latte
2024/3/7,14:30,cash,,4,Latte
2024/3/7,14:39,card,ANON-0000-0000-0032,2.89,Americano
2024/3/7,16:10,card,ANON-0000-0000-0033,3.38,Americano with Milk
2024/3/8,7:53,card,ANON-0000-0000-0012,2.89,Cortado
2024/3/8,11:22,card,ANON-0000-0000-0034,3.87,Cappuccino
2024/3/8,12:40,card,ANON-0000-0000-0035,2.89,Americano
2024/3/8,13:14,card,ANON-0000-0000-0012,2.89,Americano
2024/3/8,14:52,card,ANON-0000-0000-0033,2.89,Americano
2024/3/8,15:06,card,ANON-0000-0000-0012,3.38,Americano with Milk
2024/3/8,16:28,card,ANON-0000-0000-0036,3.87,Latte
2024/3/8,17:29,card,ANON-0000-0000-0037,3.87,Latte
2024/3/9,6:16,cash,,4,Hot Chocolate
2024/3/9,7:18,card,ANON-0000-0000-0038,2.4,Espresso
2024/3/9,7:41,card,ANON-0000-0000-0039,2.89,Americano
2024/3/9,7:54,card,ANON-0000-0000-0012,3.87,Cappuccino
2024/3/9,8:11,card,ANON-0000-0000-0040,2.89,Americano
2024/3/9,8:20,card,ANON-0000-0000-0040,2.89,Americano
2024/3/9,9:45,card,ANON-0000-0000-0041,3.87,Latte
2024/3/9,11:25,card,ANON-0000-0000-0042,3.38,Americano with Milk
2024/3/9,13:28,card,ANON-0000-0000-0043,2.89,Cortado
2024/3/9,13:36,card,ANON-0000-0000-0043,3.87,Cappuccino
2024/3/9,14:11,card,ANON-0000-0000-0009,3.38,Americano with Milk
2024/3/9,15:13,card,ANON-0000-0000-0044,3.87,Hot Chocolate
2024/3/9,16:13,card,ANON-0000-0000-0009,3.87,Cappuccino
2024/3/9,16:57,card,ANON-0000-0000-0009,3.87,Hot Chocolate
2024/3/10,9:23,cash,,3,Americano
2024/3/10,11:45,cash,,3.5,Americano with Milk
2024/3/10,12:34,cash,,4,Latte
2024/3/10,14:40,card,ANON-0000-0000-0045,2.4,Espresso
2024/3/10,16:48,cash,,3.5,Americano with Milk
2024/3/10,17:22,card,ANON-0000-0000-0046,3.87,Latte
2024/3/10,17:43,card,ANON-0000-0000-0046,2.89,Cortado
2024/3/11,7:03,cash,,4,Latte
2024/3/11,7:40,cash,,4,Cappuccino
2024/3/11,8:22,cash,,3,Cortado
2024/3/11,8:56,cash,,3,Americano
2024/3/11,9:55,card,ANON-0000-0000-0035,3.87,Cappuccino
2024/3/11,10:45,card,ANON-0000-0000-0047,2.89,Americano
2024/3/11,13:33,card,ANON-0000-0000-0047,3.87,Latte
2024/3/11,15:19,card,ANON-0000-0000-0048,2.89,Cortado
2024/3/12,6:28,cash,,4,Latte
2024/3/12,7:41,card,ANON-0000-0000-0033,2.89,Americano
2024/3/12,8:10,card,ANON-0000-0000-0033,2.89,Cortado
2024/3/12,9:25,card,ANON-0000-0000-0049,3.87,Hot Chocolate
